Name,StartLine,EndLine,MaxPowerFlow,MinPowerFlow,MaxAddedCapacity,MaxRetCapacity,InvestmentCost
Portugal>Spain,Portugal,Spain,4500.0,-4100.0,900.0,0.0,100
Spain>BigFrance,Spain,BigFrance,5000.0,-5000.0,1000.0,0.0,100
